Gender,Branch,Average GPA,Backlogs,Attendance (%),Skills,Certifications,Internship Domain,Job Role,Company Tier,English Proficiency Score,Hackathons Participated,Interview Performance (1-10),Soft Skills Rating (1-10),Offer Type,CTC (LPA)
Male,EEE,6.65,1,86.48,"ML, DL, AWS, Java",None,AI/ML,QA Engineer,Tier 1,8.7,5,5.2,7.9,PPO,38.82
Female,IT,8.67,2,85.64,"AWS, HTML, SQL, DL",None,Web Dev,DevOps Engineer,Tier 1,7.8,4,5.9,8.3,PPO,37.33
Male,ECE,7.79,0,97.65,"CSS, SQL, DL",DataCamp DS,Web Dev,SDE,Tier 1,7.1,0,4.0,7.8,Off-campus,34.12
Male,IT,7.01,0,78.98,"C++, AWS, ML, DL",None,IoT,Data Scientist,Tier 2,7.7,0,8.1,9.7,PPO,39.48
Female,MECH,7.46,3,100.0,"HTML, AWS, SQL, Java",Coursera ML,Cybersecurity,DevOps Engineer,Tier 3,9.3,5,5.6,5.2,PPO,25.84
Male,CSE,7.89,0,87.65,"DL, Python, SQL",AWS Certified,AI/ML,Business Analyst,Tier 1,6.6,2,8.9,9.9,Off-campus,44.69
Male,CIVIL,7.55,3,87.64,"DSA, AWS",AWS Certified,AI/ML,Data Scientist,Tier 1,7.5,5,6.2,9.0,On-campus,42.22
Female,ECE,7.88,1,80.85,"SQL, HTML",Google Cloud,Cybersecurity,Business Analyst,Tier 1,8.2,1,6.9,7.5,PPO,40.17
Female,CSE,6.86,1,87.2,"Python, C++, CSS",Coursera ML,Cloud,DevOps Engineer,Tier 3,7.8,4,9.8,8.0,Off-campus,33.02
Male,ECE,7.62,0,88.31,"ML, SQL, AWS, DL",DataCamp DS,IoT,SDE,Tier 1,7.3,5,5.5,7.9,PPO,38.29
Male,IT,6.51,1,91.56,"AWS, C++, ML",AWS Certified,AI/ML,Business Analyst,Tier 3,7.1,0,8.3,4.4,PPO,24.05
Female,EEE,7.42,1,78.15,"HTML, DSA, DL, Java",None,IoT,DevOps Engineer,Tier 3,7.2,0,8.5,5.3,Off-campus,26.49
Female,CIVIL,6.87,0,94.85,"CSS, HTML, SQL, C++",Google Cloud,AI/ML,Data Scientist,Tier 3,8.0,1,5.3,9.8,Off-campus,25.54
Female,IT,6.99,1,87.53,"Java, CSS",Google Cloud,AI/ML,SDE,Tier 2,8.0,2,7.0,7.2,PPO,37.32
Female,CSE,8.37,2,89.26,"Java, DL, DSA, HTML",AWS Certified,Cloud,Business Analyst,Tier 2,9.6,5,6.1,6.3,PPO,31.46
Male,CSE,8.26,0,83.45,"Java, Python",Coursera ML,Web Dev,DevOps Engineer,Tier 3,6.0,3,8.6,8.6,On-campus,29.7
Female,CSE,7.93,0,78.5,"DL, SQL, DSA, C++",Google Cloud,IoT,SDE,Tier 3,9.3,2,7.7,7.1,On-campus,27.72
Female,CSE,6.74,0,85.51,"Java, AWS",AWS Certified,Cybersecurity,SDE,Tier 2,7.3,0,6.9,4.1,Off-campus,30.63
Male,CSE,7.28,2,86.31,"DSA, AWS, DL, HTML",Coursera ML,IoT,QA Engineer,Tier 2,7.4,5,8.7,8.4,PPO,37.32
Female,ECE,8.35,0,75.3,"HTML, Java",AWS Certified,Cloud,SDE,Tier 3,8.4,0,5.4,8.4,Off-campus,28.69
Male,IT,7.6,0,90.55,"HTML, C++, SQL, ML",AWS Certified,Data Analytics,DevOps Engineer,Tier 2,8.4,4,8.5,5.0,Off-campus,35.95
Female,CIVIL,9.12,1,91.98,"Python, DL",Coursera ML,Data Analytics,Data Scientist,Tier 1,8.7,2,9.2,9.7,PPO,41.47
Female,EEE,7.78,1,79.89,"ML, Python, DSA, CSS",Coursera ML,Cloud,QA Engineer,Tier 3,8.9,3,9.3,5.3,On-campus,29.4
Female,EEE,7.63,1,77.84,"Java, C++, Python",Coursera ML,Cloud,DevOps Engineer,Tier 3,7.5,4,8.7,6.7,Off-campus,33.49
Male,IT,7.28,1,82.88,"DSA, SQL",AWS Certified,Web Dev,DevOps Engineer,Tier 2,8.9,3,6.4,4.7,Off-campus,30.58
Male,IT,7.59,0,85.17,"C++, Java, SQL, AWS",Google Cloud,IoT,DevOps Engineer,Tier 1,6.9,4,9.9,7.6,PPO,45.3
Female,EEE,7.39,2,83.15,"AWS, Python",DataCamp DS,IoT,Business Analyst,Tier 2,7.2,2,6.3,6.3,On-campus,30.74
Male,EEE,8.0,0,84.57,"HTML, Java, CSS, SQL",DataCamp DS,Data Analytics,Business Analyst,Tier 1,7.3,0,7.8,6.1,On-campus,35.95
Male,ECE,8.17,0,86.55,"ML, AWS, Python",AWS Certified,Cybersecurity,Data Scientist,Tier 1,7.0,3,5.0,9.0,PPO,35.98
Male,MECH,6.95,0,75.42,"ML, C++",AWS Certified,IoT,DevOps Engineer,Tier 3,7.6,2,9.9,4.1,Off-campus,27.9
Male,CIVIL,6.57,0,76.23,"AWS, CSS, C++, DSA",Google Cloud,AI/ML,Business Analyst,Tier 1,8.4,3,8.2,8.8,PPO,39.87
Male,CSE,6.21,0,65.94,"C++, ML, Python",Coursera ML,AI/ML,Business Analyst,Tier 3,8.2,2,8.5,7.4,PPO,30.32
Male,MECH,7.86,1,91.6,"CSS, DL, HTML",AWS Certified,Web Dev,Business Analyst,Tier 1,6.9,4,4.4,9.9,On-campus,37.44
Female,IT,6.73,1,85.11,"DSA, Python, Java",None,Web Dev,Data Scientist,Tier 3,6.8,2,8.6,7.5,Off-campus,26.65
Female,EEE,5.99,0,92.33,"Python, SQL, AWS",Coursera ML,Data Analytics,Data Scientist,Tier 1,6.6,4,8.6,4.3,Off-campus,37.71
Male,MECH,7.77,5,77.04,"AWS, ML, SQL",AWS Certified,Cybersecurity,DevOps Engineer,Tier 2,7.6,0,8.0,4.3,On-campus,30.76
Female,CIVIL,9.25,0,85.17,"Java, DSA",None,Cybersecurity,QA Engineer,Tier 1,5.9,4,5.8,9.3,Off-campus,37.1
Female,IT,7.5,2,86.5,"DSA, AWS, HTML, Java",Google Cloud,Cloud,DevOps Engineer,Tier 2,6.6,1,6.9,9.0,Off-campus,33.61
Female,CSE,8.09,1,81.07,"SQL, DL, DSA",None,Web Dev,Business Analyst,Tier 1,7.0,0,4.7,6.1,PPO,32.06
Female,CSE,7.56,0,74.13,"HTML, ML",AWS Certified,IoT,Business Analyst,Tier 1,8.6,5,6.8,7.7,PPO,42.07
Male,CIVIL,7.43,2,97.22,"ML, Python, AWS, C++",DataCamp DS,AI/ML,SDE,Tier 3,7.4,5,5.5,6.9,PPO,28.63
Female,CIVIL,8.14,0,94.79,"AWS, DL, ML",AWS Certified,IoT,DevOps Engineer,Tier 1,8.5,2,6.1,9.8,Off-campus,41.44
Female,EEE,7.3,0,82.33,"C++, CSS, ML, AWS",DataCamp DS,AI/ML,Business Analyst,Tier 1,7.7,2,5.0,9.7,Off-campus,35.63
Male,CSE,7.69,3,88.57,"DSA, CSS, HTML",Google Cloud,Data Analytics,Business Analyst,Tier 1,7.0,1,5.4,9.9,Off-campus,35.05
Male,IT,7.73,1,81.61,"ML, Python",Google Cloud,AI/ML,QA Engineer,Tier 2,7.1,2,4.5,9.2,Off-campus,30.66
Female,MECH,7.03,1,78.03,"Python, C++",Coursera ML,IoT,SDE,Tier 3,6.3,0,9.5,9.5,On-campus,31.63
Female,IT,8.19,0,97.79,"DSA, HTML, ML",Coursera ML,IoT,DevOps Engineer,Tier 3,9.9,0,7.2,5.3,On-campus,26.35
Female,ECE,7.38,2,73.41,"DSA, Python, SQL, C++",DataCamp DS,Cybersecurity,Data Scientist,Tier 1,8.6,4,6.4,9.0,Off-campus,36.88
Female,ECE,6.97,1,83.0,"DSA, DL",DataCamp DS,Cybersecurity,DevOps Engineer,Tier 1,8.1,3,7.2,8.3,PPO,39.15
Female,CIVIL,7.88,0,85.59,"Java, DSA",Google Cloud,Web Dev,DevOps Engineer,Tier 2,6.2,2,7.8,9.8,PPO,34.77
Female,EEE,6.87,0,96.56,"SQL, HTML",None,IoT,QA Engineer,Tier 1,7.0,1,9.5,7.4,On-campus,42.34
Male,ECE,7.52,0,91.28,"Python, DL, DSA, SQL",DataCamp DS,Data Analytics,DevOps Engineer,Tier 3,6.5,5,5.1,4.5,On-campus,24.99
Female,CSE,7.49,1,73.29,"DL, Python, ML, DSA",DataCamp DS,AI/ML,QA Engineer,Tier 3,7.6,0,5.8,7.6,Off-campus,28.01
Female,IT,8.26,2,84.98,"SQL, ML, CSS, C++",None,Web Dev,QA Engineer,Tier 2,6.6,0,9.9,8.1,Off-campus,34.77
Male,IT,7.83,1,85.15,"SQL, AWS, Java",Coursera ML,Cloud,Business Analyst,Tier 2,6.8,0,6.2,5.3,Off-campus,30.45
Male,CIVIL,7.48,1,83.4,"Java, C++, ML, AWS",Coursera ML,Cloud,Data Scientist,Tier 3,6.6,3,4.1,6.4,Off-campus,21.46
Male,MECH,8.07,0,89.34,"Java, SQL, DL, CSS",DataCamp DS,AI/ML,QA Engineer,Tier 2,7.3,3,4.9,7.6,Off-campus,28.08
Male,CIVIL,8.47,0,75.14,"SQL, C++, Java",Coursera ML,AI/ML,SDE,Tier 1,7.6,2,4.2,6.2,PPO,32.66
Female,MECH,7.89,0,82.14,"SQL, C++, DSA",Coursera ML,AI/ML,SDE,Tier 1,7.3,5,9.9,6.2,PPO,44.69
Female,CIVIL,7.51,0,88.35,"DSA, ML",Coursera ML,Cybersecurity,Data Scientist,Tier 2,9.0,1,5.7,4.8,Off-campus,28.82
Female,CIVIL,6.58,3,89.76,"DL, SQL",Google Cloud,AI/ML,QA Engineer,Tier 3,8.3,3,9.5,9.6,PPO,36.61
Female,CIVIL,6.75,0,86.05,"CSS, C++, Java, DL",AWS Certified,Cloud,Data Scientist,Tier 2,6.7,4,10.0,8.5,Off-campus,39.3
Female,MECH,7.29,0,82.98,"C++, Python, SQL, DL",DataCamp DS,AI/ML,Business Analyst,Tier 3,7.8,3,7.6,4.0,Off-campus,26.08
Female,MECH,7.07,0,84.16,"ML, DL",DataCamp DS,IoT,SDE,Tier 2,6.8,0,4.2,8.6,On-campus,30.9
Male,CIVIL,7.37,0,90.18,"HTML, C++, Java",Google Cloud,Data Analytics,DevOps Engineer,Tier 2,7.1,1,4.5,8.4,PPO,30.35
Female,ECE,7.54,1,85.24,"CSS, AWS",AWS Certified,Cloud,SDE,Tier 2,8.0,2,6.9,4.1,PPO,28.92
Male,EEE,7.87,0,77.71,"Java, Python, SQL",AWS Certified,Data Analytics,QA Engineer,Tier 1,8.2,3,6.4,6.2,On-campus,40.77
Male,EEE,7.45,0,76.37,"DL, ML, C++, AWS",Google Cloud,Cloud,Data Scientist,Tier 1,6.9,0,7.6,7.6,PPO,38.72
Female,EEE,7.84,2,74.57,"CSS, HTML",None,Web Dev,SDE,Tier 3,6.4,4,6.6,6.7,On-campus,27.31
Male,MECH,7.55,2,95.19,"C++, DL, HTML",None,IoT,DevOps Engineer,Tier 2,7.6,4,9.6,8.7,PPO,36.79
Female,MECH,6.12,0,90.65,"DL, C++, DSA, SQL",AWS Certified,Cloud,DevOps Engineer,Tier 1,7.9,2,7.2,6.6,Off-campus,39.6
Male,ECE,6.84,2,84.25,"HTML, AWS, Python, SQL",None,IoT,Data Scientist,Tier 2,6.9,2,8.2,4.9,On-campus,33.54
Female,EEE,7.4,0,81.82,"C++, AWS, DL",None,Cloud,Data Scientist,Tier 3,8.3,3,9.4,9.9,Off-campus,35.21
Male,EEE,6.65,0,80.98,"SQL, HTML, CSS",None,Data Analytics,SDE,Tier 1,8.1,2,4.9,5.5,Off-campus,32.35
Female,CIVIL,7.92,1,92.65,"Java, DSA",AWS Certified,Data Analytics,QA Engineer,Tier 3,6.8,5,5.4,8.3,PPO,28.76
Female,MECH,8.57,0,98.33,"Python, SQL, CSS, C++",None,Cloud,Business Analyst,Tier 1,8.6,5,4.6,4.9,On-campus,36.38
Female,EEE,8.35,3,80.76,"AWS, DL, ML, HTML",DataCamp DS,Cloud,DevOps Engineer,Tier 2,8.7,0,4.8,6.0,Off-campus,27.72
Female,IT,7.35,1,92.97,"SQL, C++, DSA, Java",AWS Certified,Cybersecurity,Data Scientist,Tier 3,9.6,0,7.1,6.7,Off-campus,25.02
Female,ECE,8.54,1,85.2,"CSS, C++",Google Cloud,IoT,Business Analyst,Tier 1,9.2,0,5.9,5.2,On-campus,36.6
Male,IT,7.6,1,83.51,"DSA, ML, HTML",None,IoT,Business Analyst,Tier 1,6.6,5,6.5,6.7,PPO,34.23
Male,IT,7.26,1,95.53,"AWS, Java, C++, HTML",Coursera ML,IoT,Business Analyst,Tier 2,8.4,3,9.9,4.9,Off-campus,36.47
Male,ECE,7.07,0,84.93,"AWS, DL",AWS Certified,IoT,QA Engineer,Tier 3,8.4,3,4.9,7.4,PPO,24.43
Female,IT,7.29,0,87.07,"CSS, C++",Google Cloud,Web Dev,Data Scientist,Tier 3,7.2,2,7.2,8.0,On-campus,30.96
Male,EEE,7.23,0,86.74,"ML, Java, SQL",DataCamp DS,Web Dev,DevOps Engineer,Tier 3,8.0,3,4.6,4.4,PPO,21.91
Female,MECH,7.62,2,73.62,"SQL, Python, AWS, ML",Google Cloud,AI/ML,Data Scientist,Tier 2,5.6,0,5.9,9.2,On-campus,33.55
Female,ECE,7.61,0,87.02,"CSS, Python, HTML, SQL",None,Cloud,SDE,Tier 1,5.6,1,7.2,5.1,PPO,34.69
Male,CIVIL,7.5,0,81.06,"AWS, Python",Coursera ML,Cloud,DevOps Engineer,Tier 1,5.8,0,9.7,5.4,PPO,41.4
Male,IT,7.81,0,75.05,"CSS, DSA, Java, Python",None,Cloud,Data Scientist,Tier 3,7.9,5,6.3,8.0,Off-campus,32.74
Female,ECE,8.33,0,81.38,"C++, HTML, Java, Python",Google Cloud,Cloud,DevOps Engineer,Tier 1,7.9,1,4.4,6.8,PPO,31.85
Male,CSE,8.16,1,81.32,"CSS, ML, Java",AWS Certified,IoT,SDE,Tier 3,7.2,2,6.3,7.0,Off-campus,27.49
Female,CSE,6.46,0,92.21,"CSS, Python, Java, DSA",Coursera ML,IoT,DevOps Engineer,Tier 2,9.2,4,4.9,4.8,On-campus,34.32
Female,MECH,5.71,0,77.55,"Java, DL, HTML",Coursera ML,Web Dev,Business Analyst,Tier 2,8.5,3,5.4,8.8,On-campus,31.55
Female,EEE,8.15,0,79.47,"Java, DSA, CSS, C++",Google Cloud,Data Analytics,QA Engineer,Tier 2,5.9,3,7.7,7.7,Off-campus,34.4
Female,MECH,6.54,1,86.65,"C++, DSA, DL, AWS",None,Cybersecurity,SDE,Tier 3,7.3,5,4.4,4.8,PPO,24.23
Female,MECH,7.34,0,75.72,"DSA, SQL, DL",Google Cloud,IoT,DevOps Engineer,Tier 1,6.6,0,6.8,6.2,On-campus,35.93
Male,MECH,6.68,0,80.39,"SQL, Java, DSA, CSS",Coursera ML,IoT,SDE,Tier 2,7.9,0,7.7,8.9,On-campus,30.87
Male,MECH,6.24,0,73.35,"SQL, Python, HTML, Java",Google Cloud,IoT,Business Analyst,Tier 3,7.5,1,6.5,7.4,On-campus,28.61
Female,CIVIL,7.88,0,91.44,"HTML, CSS, Python",Coursera ML,Data Analytics,QA Engineer,Tier 3,6.6,3,4.1,4.7,Off-campus,17.91
Female,CIVIL,8.03,0,82.89,"CSS, Java",None,Data Analytics,SDE,Tier 2,9.2,5,9.9,6.2,On-campus,37.55
Male,ECE,7.1,2,84.89,"C++, HTML",AWS Certified,Web Dev,Business Analyst,Tier 2,7.6,2,6.2,5.5,On-campus,32.75
Male,CSE,5.69,0,91.41,"CSS, DSA",AWS Certified,IoT,Business Analyst,Tier 2,7.1,0,8.7,7.1,On-campus,32.99
Female,MECH,7.12,0,79.94,"Java, HTML",Google Cloud,Cybersecurity,Business Analyst,Tier 1,7.2,3,6.0,9.1,On-campus,36.32
Male,ECE,7.77,1,82.82,"HTML, Java, SQL",Coursera ML,Cloud,DevOps Engineer,Tier 1,9.1,4,6.9,6.6,Off-campus,40.45
Female,CSE,6.46,1,77.61,"HTML, DL, CSS",AWS Certified,IoT,Data Scientist,Tier 3,8.4,5,6.3,6.6,Off-campus,25.46
Male,IT,7.63,1,77.59,"DSA, AWS, Python, DL",Coursera ML,Web Dev,SDE,Tier 2,7.3,1,6.1,9.4,PPO,30.32
Female,EEE,7.49,2,78.56,"AWS, C++, Python, SQL",None,Web Dev,Data Scientist,Tier 2,6.5,0,4.1,7.5,On-campus,28.29
Male,CIVIL,7.91,0,81.55,"Java, SQL",Google Cloud,Cybersecurity,Business Analyst,Tier 1,6.7,0,6.2,7.4,Off-campus,35.75
Female,IT,7.58,1,82.31,"C++, DL",Coursera ML,AI/ML,Data Scientist,Tier 2,7.0,2,9.3,5.6,PPO,32.57
Male,CSE,6.82,0,87.02,"ML, Python, Java",Google Cloud,Web Dev,Business Analyst,Tier 3,8.0,0,8.1,7.6,PPO,30.35
Male,IT,8.34,0,78.76,"CSS, AWS",Coursera ML,Data Analytics,Business Analyst,Tier 2,8.3,5,4.9,7.5,On-campus,32.52
Female,EEE,7.39,1,87.24,"Java, DL, HTML, C++",Coursera ML,Data Analytics,QA Engineer,Tier 1,6.8,3,7.5,6.4,PPO,37.33
Male,CSE,7.48,0,88.4,"DL, DSA",None,Cloud,QA Engineer,Tier 3,8.3,3,9.4,9.9,Off-campus,33.41
Female,IT,6.85,1,81.73,"Python, DSA, C++, ML",Google Cloud,Web Dev,Data Scientist,Tier 3,6.6,3,8.2,9.3,PPO,31.72
Male,CIVIL,7.19,1,79.37,"CSS, C++",DataCamp DS,Cloud,SDE,Tier 2,6.9,4,4.9,8.5,PPO,33.24
Female,CIVIL,6.88,0,85.6,"Java, ML, AWS, CSS",Coursera ML,Web Dev,Data Scientist,Tier 3,6.1,4,9.2,7.2,Off-campus,30.35
Male,ECE,7.38,1,83.58,"Python, Java, AWS",Coursera ML,Cybersecurity,SDE,Tier 2,6.0,0,5.8,6.8,PPO,30.86
Female,IT,8.7,1,86.54,"CSS, Java, SQL, C++",AWS Certified,IoT,Data Scientist,Tier 2,6.6,4,6.7,5.1,PPO,32.94
Male,MECH,6.54,1,95.99,"C++, ML",Google Cloud,Web Dev,DevOps Engineer,Tier 1,7.5,4,7.2,5.8,PPO,39.09
Female,IT,6.37,0,85.48,"DSA, ML, DL, C++",DataCamp DS,AI/ML,DevOps Engineer,Tier 3,6.5,2,9.1,8.6,PPO,31.13
Male,CSE,8.53,0,80.53,"ML, CSS",None,Data Analytics,SDE,Tier 2,9.0,4,9.6,6.7,On-campus,36.33
Female,CSE,7.35,1,78.76,"CSS, Java, DL, DSA",DataCamp DS,Cybersecurity,QA Engineer,Tier 2,6.6,1,9.6,9.3,On-campus,36.6
Female,IT,7.03,3,79.03,"SQL, CSS, Python",None,IoT,SDE,Tier 2,7.7,1,4.0,4.9,Off-campus,27.01
Female,EEE,8.23,0,74.76,"SQL, Python, DSA",DataCamp DS,IoT,Data Scientist,Tier 3,8.8,1,9.5,7.1,PPO,35.79
Male,CIVIL,7.08,1,91.53,"C++, HTML",DataCamp DS,Data Analytics,Business Analyst,Tier 3,7.6,0,4.3,7.9,Off-campus,22.59
Female,CSE,8.78,0,69.37,"CSS, DL, HTML, DSA",Google Cloud,IoT,DevOps Engineer,Tier 3,7.1,3,5.6,7.1,On-campus,28.11
Male,CIVIL,7.97,2,88.42,"C++, DSA, ML",AWS Certified,Cloud,Business Analyst,Tier 2,7.6,2,7.1,9.3,PPO,34.13
Female,CSE,7.16,0,78.92,"Python, DSA, Java, CSS",DataCamp DS,Cybersecurity,DevOps Engineer,Tier 3,6.9,0,6.9,9.9,PPO,28.84
Male,ECE,9.01,0,81.41,"Python, ML, AWS, SQL",Coursera ML,AI/ML,Data Scientist,Tier 2,6.5,3,7.6,4.7,On-campus,35.73
Female,MECH,7.08,2,78.71,"ML, DL, Python, CSS",Coursera ML,Data Analytics,DevOps Engineer,Tier 3,8.1,2,6.9,4.8,PPO,27.62
Male,CSE,8.02,0,95.12,"Java, Python, AWS, DL",Coursera ML,Web Dev,SDE,Tier 3,6.9,2,9.6,4.8,PPO,27.65
Male,CIVIL,7.71,1,85.11,"AWS, Python, CSS",AWS Certified,Web Dev,Business Analyst,Tier 2,8.4,2,5.4,8.1,On-campus,30.44
Female,ECE,8.41,2,90.53,"DL, HTML, ML",DataCamp DS,Web Dev,Business Analyst,Tier 3,8.3,1,5.6,6.2,Off-campus,28.08
Male,CSE,8.59,1,94.1,"ML, Java, DL",None,Cybersecurity,Data Scientist,Tier 2,7.7,1,9.5,8.4,Off-campus,38.09
Male,EEE,7.52,0,86.14,"DSA, Java, C++",None,AI/ML,Business Analyst,Tier 3,8.5,1,4.5,6.4,PPO,21.39
Female,MECH,6.97,1,76.63,"Python, C++, HTML, DSA",Google Cloud,IoT,Data Scientist,Tier 3,7.0,2,7.7,7.8,On-campus,27.26
Male,CSE,7.82,2,83.46,"HTML, Java",AWS Certified,AI/ML,QA Engineer,Tier 3,8.3,5,8.1,8.6,Off-campus,33.31
Male,ECE,7.03,0,79.8,"DSA, C++",DataCamp DS,AI/ML,SDE,Tier 3,8.3,2,7.0,7.3,Off-campus,30.03
Male,EEE,8.91,0,81.48,"DL, DSA, ML, CSS",Coursera ML,Data Analytics,DevOps Engineer,Tier 1,7.2,1,8.2,7.2,PPO,40.01
Female,IT,7.6,0,84.34,"ML, C++, DSA",AWS Certified,Cybersecurity,DevOps Engineer,Tier 2,7.1,2,5.0,4.5,Off-campus,32.84
Male,ECE,7.24,0,84.06,"SQL, CSS",AWS Certified,Web Dev,DevOps Engineer,Tier 1,7.8,1,9.1,6.5,On-campus,41.89
Female,ECE,7.63,0,87.88,"DSA, Java",DataCamp DS,Data Analytics,QA Engineer,Tier 3,9.5,1,4.8,7.3,Off-campus,24.74
Male,EEE,6.56,1,88.9,"HTML, DSA",Google Cloud,IoT,SDE,Tier 3,7.3,1,6.4,6.8,On-campus,24.23
Male,ECE,6.82,2,84.06,"SQL, Python, C++, Java",Google Cloud,AI/ML,Business Analyst,Tier 2,7.0,5,4.5,9.4,On-campus,29.09
Male,EEE,8.34,0,87.82,"SQL, C++, AWS",Google Cloud,Web Dev,Business Analyst,Tier 2,8.7,3,7.3,9.4,PPO,36.75
Female,CSE,7.04,1,81.15,"Python, Java, AWS, CSS",Coursera ML,Cybersecurity,SDE,Tier 2,7.6,2,8.0,8.9,Off-campus,34.41
Male,EEE,6.77,0,94.2,"AWS, HTML",Coursera ML,Cloud,SDE,Tier 2,8.4,0,9.6,6.3,PPO,38.9
Male,EEE,7.88,2,81.04,"DL, Python, SQL",DataCamp DS,AI/ML,DevOps Engineer,Tier 3,9.0,1,8.4,8.3,Off-campus,34.18
Female,MECH,8.33,0,93.38,"DSA, C++, HTML, SQL",Google Cloud,AI/ML,Business Analyst,Tier 2,5.6,5,7.2,6.4,PPO,34.45
Male,EEE,8.0,1,74.67,"HTML, DL, AWS, SQL",DataCamp DS,AI/ML,SDE,Tier 1,7.5,0,9.6,5.4,PPO,37.82
Female,EEE,8.2,3,82.34,"DSA, C++, CSS, Python",Google Cloud,AI/ML,Business Analyst,Tier 2,7.3,3,6.9,6.1,PPO,31.2
Female,IT,6.97,0,82.68,"AWS, Java",AWS Certified,Web Dev,SDE,Tier 2,6.5,2,7.4,4.4,Off-campus,33.38
Male,CSE,6.5,1,86.95,"Python, DL",None,Cybersecurity,Data Scientist,Tier 1,5.6,5,7.6,6.0,PPO,36.46
Female,MECH,8.55,1,91.03,"HTML, Java",None,Data Analytics,DevOps Engineer,Tier 1,5.9,1,6.5,6.8,On-campus,38.69
Male,IT,7.27,0,76.25,"C++, Python, CSS",Google Cloud,Web Dev,SDE,Tier 1,7.6,1,9.0,9.7,Off-campus,43.21
Female,CIVIL,7.32,4,77.24,"DL, C++",DataCamp DS,Cybersecurity,QA Engineer,Tier 1,7.0,1,5.1,5.9,On-campus,33.64
Female,CSE,8.43,2,75.19,"HTML, DSA, CSS",Coursera ML,Data Analytics,SDE,Tier 2,6.7,5,7.3,9.4,PPO,34.52
Male,CSE,7.89,1,94.24,"AWS, C++",Google Cloud,AI/ML,Data Scientist,Tier 1,7.6,0,8.3,5.4,PPO,38.03
Female,CIVIL,7.82,1,87.08,"AWS, CSS, HTML, Java",Google Cloud,Cybersecurity,QA Engineer,Tier 3,6.8,3,9.4,5.1,On-campus,30.58
Female,EEE,9.02,0,77.41,"DSA, ML, Python",Coursera ML,AI/ML,QA Engineer,Tier 2,8.8,2,9.3,7.1,PPO,39.62
Female,IT,7.05,0,81.9,"DL, Python, HTML, AWS",Google Cloud,Cybersecurity,SDE,Tier 3,6.9,3,7.1,8.0,Off-campus,26.66
Female,ECE,8.15,0,93.27,"C++, SQL, DSA, AWS",AWS Certified,IoT,Data Scientist,Tier 2,9.0,1,7.9,4.3,On-campus,32.31
Female,MECH,7.54,0,83.05,"CSS, C++, Java",Coursera ML,Cloud,QA Engineer,Tier 2,7.5,3,6.4,5.3,Off-campus,31.07
Male,ECE,7.69,0,82.64,"Java, CSS, ML, C++",AWS Certified,AI/ML,DevOps Engineer,Tier 3,6.8,0,6.8,6.7,Off-campus,27.78
Female,CIVIL,8.57,0,79.53,"ML, Python",None,AI/ML,DevOps Engineer,Tier 1,6.8,4,9.4,6.0,Off-campus,39.69
Male,CSE,7.86,2,77.83,"C++, Python",Coursera ML,AI/ML,Business Analyst,Tier 1,9.0,4,9.6,8.3,PPO,41.31
Female,CSE,7.88,0,93.28,"Java, AWS",Coursera ML,IoT,Business Analyst,Tier 3,8.2,2,9.4,7.1,PPO,33.24
Male,MECH,8.25,1,96.72,"ML, SQL",DataCamp DS,Web Dev,Data Scientist,Tier 1,6.7,2,4.8,5.0,On-campus,30.07
Male,CSE,7.24,2,78.1,"C++, CSS, Python, ML",DataCamp DS,Data Analytics,QA Engineer,Tier 2,7.6,3,9.1,9.4,On-campus,40.36
Female,CSE,6.91,0,94.83,"DSA, CSS",Coursera ML,AI/ML,DevOps Engineer,Tier 2,5.1,2,9.7,5.8,Off-campus,34.39
Female,MECH,6.77,1,81.59,"HTML, AWS",None,AI/ML,DevOps Engineer,Tier 2,6.2,5,6.2,8.4,PPO,29.45
Female,IT,6.12,2,88.74,"Python, CSS",Google Cloud,Web Dev,Data Scientist,Tier 1,6.7,0,7.1,8.7,PPO,36.52
Male,IT,8.94,0,94.87,"Java, C++, SQL, DL",DataCamp DS,Web Dev,QA Engineer,Tier 1,6.7,1,8.7,9.8,PPO,43.12
Female,MECH,6.73,0,83.98,"C++, CSS, HTML",None,Cloud,Data Scientist,Tier 3,8.7,1,7.4,7.0,On-campus,27.08
Male,CIVIL,7.35,1,82.7,"Java, DSA",None,Cybersecurity,SDE,Tier 2,5.6,3,10.0,7.7,PPO,37.25
Male,CSE,7.31,1,90.61,"DSA, CSS",DataCamp DS,AI/ML,DevOps Engineer,Tier 3,6.1,1,6.7,6.0,Off-campus,27.13
Male,CSE,7.72,2,77.23,"Java, C++, DL, Python",Google Cloud,Cybersecurity,Data Scientist,Tier 1,8.0,3,8.3,8.1,Off-campus,40.68
Female,CIVIL,8.07,1,93.03,"AWS, C++",DataCamp DS,Web Dev,Data Scientist,Tier 3,7.7,2,8.8,6.8,Off-campus,28.8
Female,IT,8.1,0,86.0,"Java, ML, C++",None,Web Dev,SDE,Tier 1,7.2,2,7.0,6.6,PPO,37.05
Male,EEE,7.09,1,80.96,"Java, SQL, ML, C++",AWS Certified,Cloud,Business Analyst,Tier 2,9.6,5,9.1,9.1,Off-campus,41.73
Male,EEE,7.38,0,80.77,"SQL, AWS",DataCamp DS,Data Analytics,DevOps Engineer,Tier 2,8.1,5,7.3,4.3,Off-campus,35.76
